starName,starId
Walter Matthau,1
Jack Lemmon,2
Ann-Margret,3
Sophia Loren,4
Tom Hanks,5
Tim Allen,6
Don Rickles,7
Jim Varney,8
Robin Williams,9
Kirsten Dunst,10
Bonnie Hunt,11
Jonathan Hyde,12
Whitney Houston,13
Angela Bassett,14
Loretta Devine,15
Lela Rochon,16
Steve Martin,17
Diane Keaton,18
Martin Short,19
Kimberly Williams-Paisley,20
Al Pacino,21
Robert De Niro,22
Val Kilmer,23
Jon Voight,24
Harrison Ford,25
Julia Ormond,26
Greg Kinnear,27
Nancy Marchand,28
Jean-Claude Van Damme,29
Powers Boothe,30
Raymond J. Barry,31
Whittni Wright,32
Jonathan Taylor Thomas,33
Brad Renfro,34
Charles Rocket,35
Eric Schweig,36
Pierce Brosnan,37
Sean Bean,38
Izabella Scorupco,39
Famke Janssen,40
Michael Douglas,41
Annette Bening,42
Martin Sheen,43
Michael J. Fox,44
Leslie Nielsen,45
Mel Brooks,46
Peter MacNicol,47
Steven Weber,48
Kevin Bacon,49
Bob Hoskins,50
Bridget Fonda,51
Jim Cummings,52
Anthony Hopkins,53
Joan Allen,54
Ed Harris,55
Geena Davis,56
Matthew Modine,57
Frank Langella,58
Maury Chaykin,59
Emma Thompson,60
Kate Winslet,61
James Fleet,62
Tom Wilkinson,63
Sharon Stone,64
Joe Pesci,65
James Woods,66
Tim Roth,67
Antonio Banderas,68
Sammi Davis,69
Amanda De Cadenet,70
Jim Carrey,71
Ian McNeice,72
Simon Callow,73
Maynard Eziashi,74
Wesley Snipes,75
Woody Harrelson,76
Jennifer Lopez,77
Robert Blake,78
Sigourney Weaver,79
Holly Hunter,80
Dermot Mulroney,81
William McNamara,82
Gene Hackman,83
Rene Russo,84
Danny DeVito,85
John Travolta,86
Sylvester Stallone,87
Julianne Moore,88
Anatoli Davydov,89
Nicolas Cage,90
Elisabeth Shue,91
Julian Sands,92
Richard Lewis,93
Mary Steenburgen,94
Sean Patrick Flanery,95
Lance Henriksen,96
Jeff Goldblum,97
Laurence Fishburne,98
Kenneth Branagh,99
Irène Jacob,100
Nathaniel Parker,101
Christina Ricci,102
Demi Moore,103
Rosie O'Donnell,104
Thora Birch,105
Ron Perlman,106
Daniel Emilfork,107
Judith Vittet,108
Dominique Pinon,109
Amanda Root,110
Ciarán Hinds,111
Susan Fleetwood,112
Corin Redgrave,113
Gong Li,114
Baotian Li,115
Xiaoxiao Wang,116
Xuejian Li,117
Michelle Pfeiffer,118
George Dzundza,119
Courtney B. Vance,120
Robin Bartlett,121
Bruce Willis,122
Madeleine Stowe,123
Brad Pitt,124
Joseph Melito,125
James Cromwell,126
Magda Szubanski,127
Christine Cavanaugh,128
Miriam Margolyes,129
Susan Sarandon,130
Sean Penn,131
Robert Prosky,132
Alicia Silverstone,133
Stacey Dash,134
Brittany Murphy,135
Paul Rudd,136
Kirstie Alley,137
Steve Guttenberg,138
Mary-Kate Olsen,139
Ashley Olsen,140
Richard Harris,141
James Earl Jones,142
Vusi Kunene,143
Charles S. Dutton,144
Ian McKellen,145
Christopher Bowen,146
Edward Jewesbury,147
Larenz Tate,148
Keith David,149
Chris Tucker,150
Freddy Rodríguez,151
Robert Downey Jr.,152
Sam Neill,153
David Thewlis,154
Polly Walker,155
Nicole Kidman,156
Matt Dillon,157
Joaquin Phoenix,158
Casey Affleck,159
Christopher Lambert,160
Robin Shou,161
Linden Ashby,162
Cary-Hiroyuki Tagawa,163
Winona Ryder,164
Ellen Burstyn,165
Anne Bancroft,166
Kaelynn Craddick,167
Morgan Freeman,168
Kevin Spacey,169
Andrew Kevin Walker,170
Mel Gibson,171
Linda Hunt,172
Christian Bale,173
Joe Baker,174
Pascale Bussières,175
Rachael Crawford,176
Henry Czerny,177
David Fox,178
Gabriel Byrne,179
Chazz Palminteri,180
Stephen Baldwin,181
Enrico Lo Verso,182
Michele Placido,183
Piro Milkani,184
Carmelo Di Mazzarelli,185
Woody Allen,186
Mira Sorvino,187
Pamela Blair,188
Rene Ceballos,189
Olivia d'Abo,190
Jay O. Sanders,191
John Terry,192
Jennifer Jason Leigh,193
Mare Winningham,194
Ted Levine,195
Max Perlich,196
Charles Durning,197
Hal Scardino,198
Litefoot,199
Lindsay Crouse,200
Richard Jenkins,201
Massimo Troisi,202
Philippe Noiret,203
Maria Grazia Cucinotta,204
Renato Scarpa,205
Sally Field,206
Kiefer Sutherland,207
Olivia Burnette,208
Richard Dreyfuss,209
Glenne Headly,210
Jay Thomas,211
Olympia Dukakis,212
Shawn Wayans,213
Marlon Wayans,214
Keenen Ivory Wayans,215
Tracey Cherelle Jones,216
Sandra Bullock,217
Denis Leary,218
Stephen Dillane,219
Yaphet Kotto,220
Pauly Shore,221
William Atherton,222
Denise Dowse,223
Victoria Abril,224
Josiane Balasko,225
Alain Chabat,226
Ticky Holgado,227
Patrick Bergin,228
Matt Frewer,229
Austin O'Brien,230
Ely Pouget,231
Ice Cube,232
Nia Long,233
Tom Lister Jr.,234
Harvey Keitel,235
George Clooney,236
Juliette Lewis,237
Quentin Tarantino,238
William Baldwin,239
Cindy Crawford,240
Steven Berkoff,241
Christopher McDonald,242
Josh Hamilton,243
Eric Stoltz,244
Samuel Gould,245
Catherine Kellner,246
Christian Slater,247
Mary Stuart Masterson,248
Pamela Adlon,249
Josh Brolin,250
Jean-Paul Belmondo,251
Michel Boujenah,252
Alessandra Martines,253
Salomé Lelouch,254
Peter Weller,255
Roy Dupuis,256
Jennifer Rubin,257
Andy Lauer,258
Rick Moranis,259
Tom Arnold,260
Julianne Phillips,261
Carol Kane,262
Nico,263
Tina Aumont,264
Christian Päffgen,265
Edith Boulogne,266
Jack Nicholson,267
David Morse,268
Anjelica Huston,269
Robin Wright,270
Alec Baldwin,271
Joseph Gordon-Levitt,272
James Gandolfini,273
Aida Mohammadkhani,274
Mohsen Kafili,275
Fereshteh Sadre Orafaiy,276
Anna Borkowska,277
Andy Garcia,278
Christopher Walken,279
Christopher Lloyd,280
William Forsythe,281
Al Freeman Jr.,282
Phylicia Rashad,283
Leon,284
Paula Kelly,285
Willeke van Ammelrooy,286
Jan Decleir,287
Veerle van Overloop,288
Els Dottermans,289
Jeff Bridges,290
Caroline Goodall,291
John Savage,292
Scott Wolf,293
Mark Rylance,294
Kristin Scott Thomas,295
Patsy Kensit,296
Jeremy Kemp,297
Jason Alexander,298
Faye Dunaway,299
Eric Lloyd,300
Rupert Everett,301
Chris Farley,302
David Spade,303
Tim Matheson,304
Christine Ebersole,305
Julia Roberts,306
John Malkovich,307
George Cole,308
Michael Gambon,309
Johnny Depp,310
Courtney Chase,311
Timothy Hutton,312
Noah Emmerich,313
Annabeth Gish,314
Eddie Murphy,315
Allen Payne,316
Kadeem Hardison,317
Samantha Mathis,318
Delroy Lindo,319
Vincent Cassel,320
Hubert Koundé,321
Saïd Taghmaoui,322
Abdel Ahmed Ghili,323
Michael Maloney,324
Richard Briers,325
Hetta Charnley,326
Joan Collins,327
Nick Broomfield,328
Nina Xining Zuo,329
Madam Alex,330
Corinne Bohrer,331
John Cusack,332
Danny Aiello,333
Luke Wilson,334
Owen Wilson,335
Ned Dowd,336
Shea Fowler,337
Ellen DeGeneres,338
Bill Pullman,339
Joan Cusack,340
Dean Stockwell,341
Ray Liotta,342
Linda Fiorentino,343
Peter Coyote,344
Adam Sandler,345
Julie Bowen,346
Frances Bay,347
Maria Schrader,348
Pierre Sanoussi-Bliss,349
Michael von Au,350
Elisabeth Trissenaar,351
Clint Eastwood,352
Meryl Streep,353
Annie Corley,354
Victor Slezak,355
Tim Curry,356
Billy Connolly,357
Jennifer Saunders,358
Kevin Bishop,359
Christy Turlington,360
Azzedine Alaïa,361
Giorgio Armani,362
Nadja Auermann,363
Sophie Marceau,364
Patrick McGoohan,365
Angus Macfadyen,366
Liam Neeson,367
Edward Furlong,368
Julia Weldon,369
Jodie Foster,370
Cybill Shepherd,371
Albert Brooks,372
Jackie Chan,373
Anita Mui,374
Françoise Yip,375
Bill Tung,376
Glenn Close,377
Isa Baschwitz,378
Mary Bos,379
Hugh O'Conor,380
Antony Sher,381
Tobias Arnold,382
Ruth Sheen,383
Sarah Jessica Parker,384
Eric Schaeffer,385
Ben Stiller,386
Elle Macpherson,387
Alan Arkin,388
Rachel Ticotin,389
Joe Pantoliano,390
