tag,tagId
funny,1
Highly quotable,2
will ferrell,3
Boxing story,4
MMA,5
Tom Hardy,6
drugs,7
Leonardo DiCaprio,8
Martin Scorsese,9
way too long,10
Al Pacino,11
gangster,12
mafia,13
holocaust,14
true story,15
twist ending,16
Anthony Hopkins,17
courtroom drama,18
britpop,19
indie record label,20
music,21
dumpster diving,22
Sustainability,23
romantic comedy,24
wedding,25
painter,26
bloody,27
black hole,28
sci-fi,29
time-travel,30
fantasy,31
magic board game,32
Robin Williams,33
beautiful scenery,34
epic,35
historical,36
inspirational,37
Medieval,38
mel gibson,39
Oscar (Best Cinematography),40
revenge,41
sword fight,42
black comedy,43
Christina Ricci,44
Christopher Lloyd,45
dark comedy,46
family,47
gothic,48
Andy Garcia,49
Classic,50
Francis Ford Coppola,51
quirky,52
Macaulay Culkin,53
sequel,54
animation,55
Disney,56
original,57
Pixar,58
Tom Hanks,59
ancient Rome,60
history,61
imdb top 250,62
Rome,63
Russell Crowe,64
Ed Harris,65
Jude Law,66
Rachel Weisz,67
sniper,68
World War II,69
atmospheric,70
Hilary Swank,71
violent,72
dogs,73
Eric Bana,74
mad scientist,75
marvel,76
captain nemo,77
comic book,78
Peta Wilson,79
Sean Connery,80
superhero,81
adventure,82
Angelina Jolie,83
heroine in tight suit,84
ensemble cast,85
fantasy world,86
great soundtrack,87
lord of the rings,88
scenic,89
stylized,90
Tolkien,91
hilarious,92
Steve Carell,93
anime,94
cyberpunk,95
dark,96
Matrix,97
Jim Carrey,98
meryl streep,99
Adam Sandler,100
sweet,101
British gangster,102
confusing,103
daniel craig,104
Exquisite plotting.,105
organized crime,106
stylish,107
Hayao Miyazaki,108
Studio Ghibli,109
David Thewlis,110
Eva Green,111
Liam Neeson,112
Orlando Bloom,113
Chris Evans,114
Jessica Alba,115
sexy female scientist,116
helena bonham carter,117
Johnny Depp,118
Tim Burton,119
visually appealing,120
clever,121
fast-paced dialogue,122
good dialogue,123
Robert Downey Jr.,124
witty,125
Audrey Tautou,126
conspiracy theory,127
Mystery,128
Paris,129
treasure hunt,130
Brad Pitt,131
cate blanchett,132
multiple storylines,133
social commentary,134
Ben Stiller,135
emma thompson,136
Maggie Gyllenhaal,137
modern fantasy,138
romance,139
surreal,140
Marion Cotillard,141
Africa,142
corruption,143
Jennifer Connelly,144
justice,145
bad acting,146
bad jokes,147
bad plot,148
Ryan Reynolds,149
lion,150
narnia,151
Tilda Swinton,152
bad script,153
Charlize Theron,154
Will Smith,155
Anne Hathaway,156
comedy,157
James Franco,158
Seth Rogen,159
Stoner Movie,160
audience intelligence underestimated,161
boring,162
chick flick,163
overrated,164
Teen movie,165
Adrien Brody,166
con artists,167
interesting characters,168
Mark Ruffalo,169
Bill Murray,170
Emma Stone,171
Jesse Eisenberg,172
Woody Harrelson,173
CGI,174
cheesy,175
DC,176
DC Comics,177
space,178
happy ending,179
HOT actress,180
Justin Timberlake,181
Mila Kunis,182
New York City,183
sex,184
Istanbul,185
predictable,186
Turkey,187
unnecessary sequel,188
action,189
Christoph Waltz,190
good soundtrack,191
Great performances,192
Humour,193
Quentin Tarantino,194
Samuel L. Jackson,195
Soundtrack,196
western,197
Amy Adams,198
daniel radcliffe,199
zoe kazan,200
stupid but funny,201
anti-intellectual,202
bad writing,203
dystopia,204
new society,205
plot holes,206
scifi,207
unintelligent,208
Seth MacFarlane,209
post-apocalyptic,210
survival,211
thriller,212
unexplained,213
weak plot,214
dark hero,215
gun-fu,216
Keanu Reeves,217
secret society,218
dark humor,219
ironic,220
multiple short stories,221
short stories,222
bromance,223
Dr. Strange,224
Great villain,225
Guardians of the Galaxy,226
MCU,227
Thanos,228
Thor,229
Visually stunning,230
characters,231
Dialogue,232
humor,233
Kurt Russell,234
tension building,235
Jennifer Lawrence,236
love story,237
nonsense,238
politics,239
rebellion,240
revolution,241
Ben Kingsley,242
ethics,243
immortality,244
Bad story,245
Batman,246
Ben Affleck,247
Harley Quinn,248
Harley Quinn's ass,249
Horrible directing,250
Jared Leto,251
Joker,252
lack of plot,253
Margot Robbie,254
Poor story,255
poorly paced,256
Gal Gadot,257
superman,258
wonderwoman,259
leonardo DiCarpio,260
building a family,261
creative,262
freedom,263
good writing,264
individualism,265
Viggo Mortensen,266
gun tactics,267
hitman,268
future,269
interesting,270
jon hamm,271
thought provoking,272
Dwayne Johnson,273
Rachel McAdams,274
Alicia Vikander,275
video game adaptation,276
Josh Brolin,277
sarcasm,278
Emilia Clarke,279
star wars,280
space action,281
non-linear,282
Everything you want is here,283
classic sci-fi,284
engrossing adventure,285
Nerd,286
stone age,287
killer,288
widows/widowers,289
kids,290
robots,291
murder,292
police,293
Kevin Costner,294
Post apocalyptic,295
irreverent,296
jay and silent bob,297
Kevin Smith,298
satire,299
